"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000174",393,182,106,76,19,10
"N00000175",373,158,135,62,14,4
"N00000176",474,168,174,94,31,7
"N00000177",323,139,91,64,15,14
"N00000178",667,253,209,155,37,13
"N00000179",852,264,306,190,70,22
"N00000180",280,100,97,67,14,2
"N00000181",274,82,114,51,19,8
"N00000182",228,72,95,47,12,2
"N00000183",293,148,94,45,6,0
"N00000184",372,137,123,81,22,9
"N00000185",211,74,60,57,15,5
"N00000186",299,138,94,46,17,4
"N00000187",255,83,71,75,19,7
"N00000188",347,142,127,64,8,6
"N00000189",341,191,105,33,9,3
"N00000190",304,124,128,44,4,4
"N00000191",303,128,121,44,8,2
"N00000192",302,130,105,49,15,3
"N00000193",291,136,92,47,15,1
"N00000194",255,94,81,57,17,6
"N00000195",246,72,78,69,20,7
"N00000196",237,75,60,68,26,8
"N00000197",326,152,127,32,11,4
"N00000198",287,136,100,42,8,1
"N00000199",350,190,106,48,3,3
"N00000200",331,161,113,41,14,2
"N00000201",294,125,110,49,8,2
"N00000202",304,156,107,35,6,0
"N00000203",334,137,130,58,9,0
"N00000204",393,159,146,68,18,2
"N00000205",303,171,84,35,11,2
"N00000206",390,178,140,65,5,2
"N00000207",253,101,109,38,5,0
"N00000208",316,127,129,49,9,2
"N00000209",356,199,124,28,3,2
"N00000210",383,146,144,69,19,5
"N00000211",528,171,198,119,32,8
"N00000212",175,71,57,39,6,2
"N00000213",281,137,76,49,15,4
"N00000214",323,163,114,37,3,6
"N00000215",400,227,119,47,7,0
"N00000216",397,186,141,55,10,5
"N00000217",479,262,156,50,8,3
"N00000218",361,142,166,38,12,3
"N00000219",245,89,74,61,20,1
"N00000220",284,106,109,50,18,1
"N00000221",262,98,94,50,13,7
"N00000222",298,102,113,69,8,6
"N00000223",319,137,114,51,11,6
"N00000224",243,96,86,44,12,5
"N00000225",147,36,53,47,7,4
"N00000226",261,112,93,42,11,3
"N00000227",195,55,56,53,26,5
"N00000228",306,118,99,77,10,2
"N00000229",395,161,116,83,23,12
"N00000230",293,131,99,48,13,2
"N00000231",324,144,97,57,22,4
"N00000232",309,112,124,51,15,7
"N00000233",258,97,93,50,16,2
"N00000234",256,89,93,49,19,6
"N00000235",323,174,108,32,6,3
"N00000236",291,156,90,36,8,1
"N00000237",416,224,132,52,7,1
"N00000238",306,151,114,33,8,0
"N00000239",254,93,85,51,16,9
"N00000240",354,172,112,48,18,4
"N00000241",424,259,130,31,4,0
"N00000242",360,185,130,33,10,2
"N00000243",265,104,96,39,19,7
"N00000244",275,119,80,44,27,5
"N00000245",314,106,135,57,11,5
"N00000246",309,113,104,66,20,6
"N00000247",309,134,112,49,12,2
"N00000248",337,164,109,52,11,1
"N00000249",386,182,150,46,5,3
"N00000250",401,195,125,66,11,4
"N00000251",456,266,143,35,9,3
"N00000252",345,179,116,43,7,0
"N00000253",499,263,161,64,9,2
"N00000254",315,154,116,36,6,3
"N00000255",351,169,127,41,13,1
"N00000256",780,411,258,89,21,1
"N00000257",447,196,162,65,17,7
"N00000258",379,208,136,29,4,2
"N00000259",465,239,143,54,21,8
"N00000260",560,276,160,88,32,4
"N00000261",561,304,173,63,16,5
"N00000262",419,215,114,75,12,3
"N00000263",239,109,72,49,6,3
"N00000264",566,274,190,77,17,8
"N00000265",351,118,144,62,23,4
"N00000266",328,159,111,38,17,3
"N00000267",431,230,143,42,14,2
"N00000268",384,175,137,60,11,1
"N00000269",347,171,117,50,7,2
"N00000270",371,157,146,57,11,0
"N00000271",380,198,117,54,9,2
